,index,0
856,bloody,2
857,wacky,2
858,must,2
859,genuinely,2
860,entry,2
861,bigger,2
862,natural,2
863,themes,2
864,show,2
865,directorial,2
866,international,2
867,greendale,2
868,miracleworker,2
869,brothers,2
870,twist,2
871,somewhere,2
872,romp,2
873,war,2
874,surely,2
875,halfbaked,2
876,holding,2
877,rambling,2
878,lazy,2
879,mood,2
880,biebers,2
881,narration,2
882,sad,2
883,future,2
884,nice,2
885,every,2
886,kids,2
887,extremely,2
888,crowdpleasing,2
889,fit,2
890,damon,2
891,scripts,2
892,remotely,2
893,couple,2
894,cotton,2
895,horse,2
896,formulaic,2
897,category,2
898,inspired,2
899,capabilities,2
900,rudimentary,2
901,30,2
902,screenplay,2
903,collective,2
904,horrors,2
905,compelling,2
906,base,1
907,witch,1
908,nonexistent,1
909,feline,1
910,cianfrance,1
911,tomorrowland,1
912,de,1
913,responsible,1
914,morally,1
915,sinks,1
916,hopes,1
917,emquote,1
918,swing,1
919,eyes,1
920,mean,1
921,anymore,1
922,hinges,1
923,miscast,1
924,fourleaf,1
925,general,1
926,accounts,1
927,fartooconvenient,1
928,canine,1
929,fishing,1
930,vulgaritya,1
931,aimed,1
932,knuckledraggers,1
933,desolation,1
934,teetering,1
935,80s,1
936,python,1
937,evan,1
938,delivering,1
939,attempts,1
940,gratuitous,1
941,sentimentality,1
942,closures,1
943,apart,1
944,hypertime,1
945,plausible,1
946,recommend,1
947,gory,1
948,mountain,1
949,soderberghs,1
950,icky,1
951,dilemma,1
952,qualms,1
953,respectful,1
954,suicide,1
955,2014,1
956,dance,1
957,compass,1
958,burton,1
959,duo,1
960,pushing,1
961,dons,1
962,father,1
963,measured,1
964,boorish,1
965,arent,1
966,ago,1
967,pantheon,1
968,episodes,1
969,scripting,1
970,overflowing,1
971,shrill,1
972,lucky,1
973,drawn,1
974,creator,1
975,complicated,1
976,villains,1
977,heed,1
978,bromances,1
979,untimely,1
980,incapable,1
981,kosars,1
982,visit,1
983,simpleminded,1
984,eccentricities,1
985,undead,1
986,knew,1
987,migrants,1
988,rocks,1
989,unmemorable,1
990,repugnant,1
991,christmases,1
992,tommy,1
993,bogged,1
994,bodies,1
995,assets,1
996,throwaway,1
997,squeeze,1
998,worn,1
999,liam,1
1000,indiscriminately,1
1001,handful,1
1002,catlady,1
1003,rushed,1
1004,microbe,1
1005,basically,1
1006,heartless,1
1007,carpenters,1
1008,offcolour,1
1009,marketdefined,1
1010,aims,1
1011,attacks,1
1012,seemed,1
1013,lowrent,1
1014,neeson,1
1015,karras,1
1016,send,1
1017,courtesy,1
1018,ethan,1
1019,makeup,1
1020,runyon,1
1021,travails,1
1022,aweinspired,1
1023,engagingly,1
1024,lush,1
1025,simplistic,1
1026,sake,1
1027,tells,1
1028,highquality,1
1029,vaguely,1
1030,proving,1
1031,underused,1
1032,theroux,1
1033,close,1
1034,brad,1
1035,critters,1
1036,watched,1
1037,king,1
1038,mister,1
1039,matthew,1
1040,twice,1
1041,dramatizes,1
1042,spirit,1
1043,expositionbased,1
1044,latter,1
1045,feudal,1
1046,sciencefiction,1
1047,pelican,1
1048,accios,1
1049,hollywoods,1
1050,process,1
1051,wake,1
1052,delusion,1
1053,known,1
1054,alsoran,1
1055,frank,1
1056,flagwaving,1
1057,spare,1
1058,punch,1
1059,misadventures,1
1060,towards,1
1061,atomic,1
1062,london,1
1063,neither,1
1064,preceding,1
1065,friends,1
1066,drunk,1
1067,buttons,1
1068,wisecracks,1
1069,project,1
1070,vehicle,1
1071,loops,1
1072,titled,1
1073,9,1
1074,suitable,1
1075,goodinteresting,1
1076,dampsquib,1
1077,horseshoes,1
1078,nancy,1
1079,lindsay,1
1080,goggins,1
1081,class,1
1082,humane,1
1083,soft,1
1084,factbased,1
1085,insoluble,1
1086,museum,1
1087,sufficiently,1
1088,willis,1
1089,trespass,1
1090,directing,1
1091,video,1
1092,dame,1
1093,squandering,1
1094,pains,1
1095,bore,1
1096,offbalance,1
1097,soon,1
1098,willingness,1
1099,understatement,1
1100,undertones,1
1101,universe,1
1102,astrid,1
1103,rehashes,1
1104,montages,1
1105,45,1
1106,exceedingly,1
1107,nostalgic,1
1108,bala,1
1109,mcconaughey,1
1110,views,1
1111,larsons,1
1112,luc,1
1113,garish,1
1114,tell,1
1115,whites,1
1116,roosevelt,1
1117,cancel,1
1118,victim,1
1119,freddy,1
1120,mansion,1
1121,sergeant,1
1122,insight,1
1123,bulger,1
1124,nauseous,1
1125,clunky,1
1126,superficial,1
1127,erratic,1
1128,nights,1
1129,army,1
1130,emptyheaded,1
1131,certain,1
1132,laws,1
1133,bakay,1
1134,garbage,1
1135,hay,1
1136,toomanysuperheroescrammedinonemovie,1
1137,door,1
1138,awfulness,1
1139,consistently,1
1140,adequate,1
1141,noticeable,1
1142,comfort,1
1143,indifference,1
1144,wander,1
1145,tropicalvacation,1
1146,layered,1
1147,qualities,1
1148,flirts,1
1149,canning,1
1150,mavericks,1
1151,hammering,1
1152,crowne,1
1153,plaza,1
1154,connery,1
1155,separated,1
1156,corn,1
1157,deftly,1
1158,stop,1
1159,americanization,1
1160,inept,1
1161,spread,1
1162,ponderingness,1
1163,90,1
1164,abandon,1
1165,bash,1
1166,distinction,1
1167,stormy,1
1168,device,1
1169,valance,1
1170,dependence,1
1171,displays,1
1172,upstanding,1
1173,ill,1
1174,rap,1
1175,fresh,1
1176,loach,1
1177,stubbornly,1
1178,miscaviges,1
1179,92,1
1180,indulgent,1
1181,extensive,1
1182,sort,1
1183,breakneck,1
1184,amateur,1
